                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2095,                0.85246,                 0.9938,                0.91333,                0.89576,                 0.9013,                0.59831,                 1.1584,                0.75855,                 1.0013,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2523,                0.81315,                  1.001,                0.91333,                0.89576,                 0.9013,                0.59831,                 1.1584,                0.75855,                 1.0013,               0.000911,               0.000911,               0.000911
                     58,                 1.2103,                0.83823,                0.98318,                0.91333,                0.89576,                 0.9013,                0.59831,                 1.1584,                0.75855,                 1.0013,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1949,                0.85084,                0.96216,                0.91558,                0.89875,                 0.9034,                0.60436,                 1.1535,                0.74835,                0.99706,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2494,                0.83431,                 1.0083,                0.91558,                0.89875,                 0.9034,                0.60436,                 1.1535,                0.74835,                0.99706,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1532,                0.83911,                0.97235,                0.91558,                0.89875,                 0.9034,                0.60436,                 1.1535,                0.74835,                0.99706,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.276,                0.82776,                 1.0553,                0.91558,                0.89875,                 0.9034,                0.60436,                 1.1535,                0.74835,                0.99706,               0.000812,               0.000812,               0.000812
                     63,                 1.2792,                0.77932,                0.99477,                 0.9288,                0.88875,                0.90677,                0.61108,                 1.1622,                0.73866,                0.99425,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2525,                0.77422,                0.96535,                 0.9288,                0.88875,                0.90677,                0.61108,                 1.1622,                0.73866,                0.99425,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2566,                0.77537,                 1.0213,                 0.9288,                0.88875,                0.90677,                0.61108,                 1.1622,                0.73866,                0.99425,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2024,                0.82634,                  1.012,                  0.921,                0.88625,                0.90698,                 0.6151,                 1.1582,                0.74212,                0.99071,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.208,                0.78678,                0.99201,                  0.921,                0.88625,                0.90698,                 0.6151,                 1.1582,                0.74212,                0.99071,               0.000713,               0.000713,               0.000713
                     68,                 1.2307,                0.79753,                0.99529,                  0.921,                0.88625,                0.90698,                 0.6151,                 1.1582,                0.74212,                0.99071,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2047,                0.74793,                 1.0173,                0.91945,                0.89375,                0.90872,                0.62141,                 1.1417,                0.73361,                0.98594,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1959,                0.78919,                 1.0086,                0.91945,                0.89375,                0.90872,                0.62141,                 1.1417,                0.73361,                0.98594,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2218,                0.76452,                0.96955,                0.91945,                0.89375,                0.90872,                0.62141,                 1.1417,                0.73361,                0.98594,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1552,                0.77386,                0.96945,                0.91846,                    0.9,                0.91171,                0.60696,                 1.1731,                0.73559,                0.99944,               0.000614,               0.000614,               0.000614
                     73,                 1.1745,                0.86936,                0.96254,                0.91846,                    0.9,                0.91171,                0.60696,                 1.1731,                0.73559,                0.99944,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1867,                 0.7739,                  1.053,                0.91846,                    0.9,                0.91171,                0.60696,                 1.1731,                0.73559,                0.99944,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2154,                0.77329,                0.97057,                0.91846,                    0.9,                0.91171,                0.60696,                 1.1731,                0.73559,                0.99944,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.197,                0.79162,                0.99037,                0.92687,                0.90298,                0.91415,                0.59383,                 1.2114,                0.73823,                 1.0137,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2466,                0.75093,                0.99347,                0.92687,                0.90298,                0.91415,                0.59383,                 1.2114,                0.73823,                 1.0137,               0.000515,               0.000515,               0.000515
                     78,                  1.215,                0.78665,                0.99637,                0.92687,                0.90298,                0.91415,                0.59383,                 1.2114,                0.73823,                 1.0137,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1552,                0.77222,                0.96019,                0.93982,                0.89125,                0.91722,                0.59221,                 1.2211,                0.72749,                 1.0144,              0.0004754,              0.0004754,              0.0004754
